Id da partida,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence,Placar Exato,Odd Placar Exato,Data das odds
1770127,Euro,2025-05-30,1:08,Polônia,Albânia,2,0,2,3.00,2.50,3.00,2.50,2.50,3.10,3.00,2-0,11.00,30-05-2025 02:16
1770134,Euro,2025-05-30,1:11,Sérvia,Croácia,1,0,1,2.80,2.55,2.80,2.55,2.55,3.30,2.80,1-0,8.50,30-05-2025 02:16
1770141,Euro,2025-05-30,1:14,Alemanha,Suíça,2,0,2,3.20,2.20,3.20,2.20,2.20,3.60,3.20,2-0,7.00,30-05-2025 02:16
1770148,Euro,2025-05-30,1:17,Geórgia,França,0,2,2,2.10,3.40,2.10,3.40,3.40,3.50,2.10,0-2,7.00,30-05-2025 02:16
1770155,Euro,2025-05-30,1:20,Romênia,Alemanha,0,1,1,2.30,3.00,2.30,3.00,3.00,3.60,2.30,0-1,6.50,30-05-2025 02:16
1770162,Euro,2025-05-30,1:23,Bélgica,Albânia,3,1,4,2.20,3.40,2.20,3.40,2.20,3.30,3.40,3-1,9.00,30-05-2025 02:16
1770169,Euro,2025-05-30,1:26,Eslovênia,Alemanha,0,1,1,2.40,3.00,2.40,3.00,3.00,3.30,2.40,0-1,8.50,30-05-2025 02:16
1770176,Euro,2025-05-30,1:29,Albânia,Dinamarca,2,1,3,2.75,2.70,2.70,2.75,2.75,3.20,2.70,2-1,10.00,30-05-2025 02:16
1770182,Euro,2025-05-30,1:32,Hungria,Portugal,1,1,2,2.50,2.80,2.50,2.80,2.80,3.40,2.50,1-1,8.00,30-05-2025 02:16
1770190,Euro,2025-05-30,1:35,República Tcheca,Turquia,1,1,2,2.87,2.60,2.87,2.60,2.60,3.20,2.87,1-1,10.00,30-05-2025 02:16
1770197,Euro,2025-05-30,1:38,Romênia,Albânia,1,3,4,2.50,2.90,2.50,2.90,2.50,3.30,2.90,1-3,9.00,30-05-2025 02:16
1770204,Euro,2025-05-30,1:41,Sérvia,Ucrânia,0,0,0,3.20,2.30,3.20,2.30,2.30,3.30,3.20,0-0,9.00,30-05-2025 02:16
1770211,Euro,2025-05-30,1:44,Portugal,Alemanha,1,0,1,2.70,2.55,2.70,2.55,2.55,3.50,2.70,1-0,7.00,30-05-2025 02:16
1770218,Euro,2025-05-30,1:47,Bélgica,Itália,2,0,2,2.80,2.45,2.80,2.45,2.45,3.50,2.80,2-0,7.50,30-05-2025 02:16
1770225,Euro,2025-05-30,1:50,Geórgia,Ucrânia,0,2,2,2.62,2.70,2.62,2.70,2.70,3.30,2.62,0-2,8.50,30-05-2025 02:16
1770232,Euro,2025-05-30,1:53,França,Inglaterra,0,1,1,2.75,2.45,2.75,2.45,2.45,3.60,2.75,0-1,6.00,30-05-2025 02:16
1770239,Euro,2025-05-30,1:56,Suíça,Albânia,1,4,5,2.35,3.10,2.35,3.10,2.35,3.30,3.10,1-4,9.00,30-05-2025 02:16
1770246,Euro,2025-05-30,1:59,Sérvia,Espanha,1,1,2,2.60,2.70,2.60,2.70,2.70,3.40,2.60,1-1,7.50,30-05-2025 02:16
1769974,Euro,2025-05-30,0:02,Bélgica,Países Baixos,1,1,2,2.87,2.35,2.87,2.35,2.35,3.60,2.87,1-1,6.50,30-05-2025 02:16
1769981,Euro,2025-05-30,0:05,Dinamarca,Romênia,2,0,2,3.20,2.25,3.20,2.25,2.25,3.50,3.20,2-0,7.50,30-05-2025 02:16
1769988,Euro,2025-05-30,0:08,Albânia,Hungria,1,0,1,2.90,2.55,2.90,2.55,2.55,3.20,2.90,1-0,10.00,30-05-2025 02:16
1769995,Euro,2025-05-30,0:11,Eslovênia,Polônia,0,2,2,3.00,2.50,3.00,2.50,2.50,3.10,3.00,0-2,11.00,30-05-2025 02:16
1770001,Euro,2025-05-30,0:14,Dinamarca,Geórgia,1,0,1,3.75,2.05,3.75,2.05,2.05,3.40,3.75,1-0,9.00,30-05-2025 02:16
1770008,Euro,2025-05-30,0:17,Espanha,Eslováquia,0,4,4,2.00,3.60,2.00,3.60,2.00,3.60,3.60,0-4,7.00,30-05-2025 02:16
1770015,Euro,2025-05-30,0:20,Portugal,Escócia,1,2,3,2.20,3.30,3.30,2.20,2.20,3.50,3.30,1-2,7.50,30-05-2025 02:16
1770022,Euro,2025-05-30,0:23,Espanha,Itália,1,3,4,2.37,2.90,2.37,2.90,2.37,3.50,2.90,1-3,7.00,30-05-2025 02:16
1770029,Euro,2025-05-30,0:26,Polônia,Eslovênia,1,0,1,3.00,2.50,3.00,2.50,2.50,3.10,3.00,1-0,11.00,30-05-2025 02:16
1770036,Euro,2025-05-30,0:29,Itália,Bélgica,4,2,6,2.45,2.80,2.45,2.80,2.45,3.50,2.80,4-2,7.50,30-05-2025 02:16
1770044,Euro,2025-05-30,0:32,República Tcheca,França,0,0,0,2.37,3.00,2.37,3.00,3.00,3.40,2.37,0-0,8.00,30-05-2025 02:16
1770050,Euro,2025-05-30,0:35,Escócia,Croácia,3,1,4,2.60,2.62,2.60,2.62,2.60,3.50,2.62,3-1,7.50,30-05-2025 02:16
1770057,Euro,2025-05-30,0:38,Sérvia,Inglaterra,1,1,2,2.45,2.90,2.45,2.90,2.90,3.40,2.45,1-1,7.50,30-05-2025 02:16
1770064,Euro,2025-05-30,0:41,Turquia,Eslováquia,1,0,1,3.40,2.20,3.40,2.20,2.20,3.30,3.40,1-0,9.00,30-05-2025 02:16
1770071,Euro,2025-05-30,0:44,Alemanha,Ucrânia,1,0,1,3.50,2.07,3.50,2.07,2.07,3.50,3.50,1-0,7.50,30-05-2025 02:16
1770078,Euro,2025-05-30,0:47,Romênia,Croácia,1,1,2,2.55,2.70,2.55,2.70,2.70,3.50,2.55,1-1,7.00,30-05-2025 02:16
1770085,Euro,2025-05-30,0:50,Ucrânia,Eslovênia,0,1,1,3.00,2.50,3.00,2.50,2.50,3.20,3.00,0-1,10.00,30-05-2025 02:16
1770092,Euro,2025-05-30,0:53,Croácia,Turquia,1,0,1,3.00,2.40,3.00,2.40,2.40,3.30,3.00,1-0,8.50,30-05-2025 02:16
1770099,Euro,2025-05-30,0:56,Suíça,Alemanha,1,1,2,2.45,2.75,2.45,2.75,2.75,3.50,2.45,1-1,6.50,30-05-2025 02:16
1770105,Euro,2025-05-30,0:59,Portugal,Espanha,2,0,2,2.80,2.45,2.80,2.45,2.45,3.50,2.80,2-0,6.50,30-05-2025 02:16
1770810,Copa,2025-05-30,6:01,Arábia Saudita,Suíça,1,2,3,3.00,2.30,2.30,3.00,3.00,3.50,2.30,1-2,7.00,30-05-2025 02:18
1770818,Copa,2025-05-30,6:04,Coreia do Sul,EUA,1,0,1,2.60,2.87,2.60,2.87,2.87,3.20,2.60,1-0,10.00,30-05-2025 02:18
1770824,Copa,2025-05-30,6:07,França,Alemanha,1,0,1,3.00,2.30,3.00,2.30,2.30,3.50,3.00,1-0,7.00,30-05-2025 02:18
1770832,Copa,2025-05-30,6:10,País de Gales,Arábia Saudita,1,1,2,3.25,2.20,3.25,2.20,2.20,3.50,3.25,1-1,7.50,30-05-2025 02:18
1770838,Copa,2025-05-30,6:13,Croácia,Sérvia,1,2,3,2.35,3.25,3.25,2.35,2.35,3.10,3.25,1-2,11.00,30-05-2025 02:18
1770849,Copa,2025-05-30,6:16,Brasil,Gana,2,0,2,4.00,1.86,4.00,1.86,1.86,3.75,4.00,2-0,7.00,30-05-2025 02:18
1770674,Copa,2025-05-30,5:01,Bélgica,Brasil,1,1,2,2.55,2.70,2.55,2.70,2.70,3.50,2.55,1-1,7.00,30-05-2025 02:18
1770678,Copa,2025-05-30,5:04,Senegal,Espanha,1,1,2,2.50,2.80,2.50,2.80,2.80,3.40,2.50,1-1,8.00,30-05-2025 02:18
1770684,Copa,2025-05-30,5:07,Tunísia,Brasil,0,1,1,2.05,3.50,2.05,3.50,3.50,3.60,2.05,0-1,7.00,30-05-2025 02:18
1770692,Copa,2025-05-30,5:10,Equador,Sérvia,2,0,2,2.87,2.55,2.87,2.55,2.55,3.25,2.87,2-0,9.00,30-05-2025 02:18
1770698,Copa,2025-05-30,5:13,Dinamarca,Canadá,2,3,5,2.05,3.60,2.05,3.60,2.05,3.50,3.60,2-3,7.50,30-05-2025 02:18
1770705,Copa,2025-05-30,5:16,Austrália,Japão,1,2,3,2.60,2.70,2.70,2.60,2.60,3.40,2.70,1-2,8.00,30-05-2025 02:18
1770715,Copa,2025-05-30,5:19,Inglaterra,Suíça,0,1,1,3.40,2.10,3.40,2.10,2.10,3.60,3.40,0-1,7.00,30-05-2025 02:18
1770720,Copa,2025-05-30,5:22,Irã,México,1,3,4,3.00,2.35,3.00,2.35,3.00,3.50,2.35,1-3,7.00,30-05-2025 02:18
1770726,Copa,2025-05-30,5:25,Sérvia,EUA,1,0,1,3.10,2.50,3.10,2.50,2.50,3.00,3.10,1-0,12.00,30-05-2025 02:18
1770734,Copa,2025-05-30,5:28,Equador,Suíça,4,1,5,2.60,2.70,2.60,2.70,2.60,3.50,2.70,4-1,7.00,30-05-2025 02:18
1770739,Copa,2025-05-30,5:31,EUA,Espanha,2,1,3,2.90,2.45,2.45,2.90,2.90,3.30,2.45,2-1,8.50,30-05-2025 02:18
1770748,Copa,2025-05-30,5:34,País de Gales,França,0,1,1,2.15,3.30,2.15,3.30,3.30,3.50,2.15,0-1,7.50,30-05-2025 02:18
1770754,Copa,2025-05-30,5:37,Uruguai,Senegal,0,1,1,2.90,2.50,2.90,2.50,2.50,3.30,2.90,0-1,9.00,30-05-2025 02:18
1770761,Copa,2025-05-30,5:40,Suíça,Tunísia,0,0,0,3.50,2.10,3.50,2.10,2.10,3.50,3.50,0-0,7.50,30-05-2025 02:18
1770769,Copa,2025-05-30,5:43,Qatar,Alemanha,0,0,0,2.20,3.20,2.20,3.20,3.20,3.50,2.20,0-0,7.00,30-05-2025 02:18
1770777,Copa,2025-05-30,5:46,Arábia Saudita,México,3,0,3,3.00,2.35,2.35,3.00,3.00,3.50,2.35,3-0,7.00,30-05-2025 02:18
1770782,Copa,2025-05-30,5:49,Inglaterra,Portugal,3,0,3,2.25,3.10,3.10,2.25,2.25,3.60,3.10,3-0,6.50,30-05-2025 02:18
1770791,Copa,2025-05-30,5:52,Qatar,Sérvia,0,1,1,2.60,2.87,2.60,2.87,2.87,3.20,2.60,0-1,10.00,30-05-2025 02:18
1770795,Copa,2025-05-30,5:55,Tunísia,Coreia do Sul,1,3,4,2.45,2.90,2.45,2.90,2.45,3.40,2.90,1-3,8.00,30-05-2025 02:18
1770804,Copa,2025-05-30,5:58,Inglaterra,País de Gales,1,2,3,1.90,4.00,4.00,1.90,1.90,3.60,4.00,1-2,7.50,30-05-2025 02:18
1770530,Copa,2025-05-30,4:01,Irã,Tunísia,1,1,2,2.70,2.60,2.70,2.60,2.60,3.50,2.70,1-1,7.00,30-05-2025 02:18
1770539,Copa,2025-05-30,4:04,Polônia,Uruguai,0,1,1,2.75,2.50,2.75,2.50,2.50,3.40,2.75,0-1,7.50,30-05-2025 02:18
1770544,Copa,2025-05-30,4:07,Gana,Alemanha,0,0,0,2.25,3.10,2.25,3.10,3.10,3.50,2.25,0-0,7.00,30-05-2025 02:18
1770553,Copa,2025-05-30,4:10,Uruguai,Croácia,1,2,3,2.55,2.80,2.80,2.55,2.55,3.30,2.80,1-2,8.50,30-05-2025 02:18
1770557,Copa,2025-05-30,4:13,Tunísia,Camarões,3,5,8,2.40,2.87,2.40,2.87,2.40,3.50,2.87,3-5,7.00,30-05-2025 02:18
1770565,Copa,2025-05-30,4:16,França,México,2,1,3,2.07,3.50,3.50,2.07,2.07,3.50,3.50,2-1,7.50,30-05-2025 02:18
1770573,Copa,2025-05-30,4:19,Sérvia,Países Baixos,1,0,1,2.62,2.75,2.62,2.75,2.75,3.25,2.62,1-0,9.00,30-05-2025 02:18
1770579,Copa,2025-05-30,4:22,México,Costa Rica,1,0,1,3.50,2.10,3.50,2.10,2.10,3.50,3.50,1-0,7.50,30-05-2025 02:18
1770587,Copa,2025-05-30,4:25,Coreia do Sul,Marrocos,3,2,5,2.60,2.70,2.60,2.70,2.60,3.40,2.70,3-2,8.00,30-05-2025 02:18
1770595,Copa,2025-05-30,4:28,Canadá,Austrália,1,2,3,2.40,2.87,2.87,2.40,2.40,3.50,2.87,1-2,7.00,30-05-2025 02:18
